Month,L,M,S
0,0.3487,3.3464,0.14602
1,0.2297,4.4709,0.13395
2,0.197,5.5675,0.12385
3,0.1738,6.3762,0.11727
4,0.1553,7.0023,0.11316
5,0.1395,7.5105,0.1108
6,0.1257,7.934,0.10958
7,0.1134,8.297,0.10902
8,0.1021,8.6151,0.10882
9,0.0917,8.9014,0.10881
10,0.082,9.1649,0.10891
11,0.073,9.4122,0.10906
12,0.0644,9.6479,0.10925
13,0.0563,9.8749,0.10949
14,0.0487,10.0953,0.10976
15,0.0413,10.3108,0.11007
16,0.0343,10.5228,0.11041
17,0.0275,10.7319,0.11079
18,0.0211,10.9385,0.11119
19,0.0148,11.143,0.11164
20,0.0087,11.3462,0.11211
21,0.0029,11.5486,0.11261
22,-0.0028,11.7504,0.11314
23,-0.0083,11.9514,0.11369
24,-0.0137,12.1515,0.11426
