Month,L,M,S
0,0.3809,3.2322,0.14171
1,0.1714,4.1873,0.13724
2,0.0962,5.1282,0.13
3,0.0402,5.8458,0.12619
4,-0.005,6.4237,0.12402
5,-0.043,6.8985,0.12274
6,-0.0756,7.297,0.12204
7,-0.1039,7.6422,0.12178
8,-0.1288,7.9487,0.12181
9,-0.1507,8.2254,0.12199
10,-0.17,8.48,0.12223
11,-0.1872,8.7192,0.12247
12,-0.2024,8.9481,0.12268
13,-0.2158,9.1699,0.12283
14,-0.2278,9.387,0.12294
15,-0.2384,9.6008,0.12299
16,-0.2478,9.8124,0.12303
17,-0.2562,10.0226,0.12306
18,-0.2637,10.2315,0.12309
19,-0.2703,10.4393,0.12315
20,-0.2762,10.6464,0.12323
21,-0.2815,10.8534,0.12335
22,-0.2862,11.0608,0.1235
23,-0.2903,11.2688,0.12369
24,-0.2941,11.4775,0.1239
